ibge7,ibge6,mun_nome,ano,populacao,fonte_populacao,observacao_populacao
3300902,330090,Cambuci,2018,15496,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300902,330090,Cambuci,2019,15505,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300902,330090,Cambuci,2020,15514,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300902,330090,Cambuci,2021,15521,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300902,330090,Cambuci,2022,14616,"SIDRA 4714 v93 - Censo Demografico 2022, Populacao residente",censo_2022_oficial_sidra
3300902,330090,Cambuci,2024,15070,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300902,330090,Cambuci,2025,15069,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300936,330093,Carapebus,2017,15568,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300936,330093,Carapebus,2018,16039,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300936,330093,Carapebus,2019,16301,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300936,330093,Carapebus,2020,16586,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300936,330093,Carapebus,2021,16859,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300936,330093,Carapebus,2022,13847,"SIDRA 4714 v93 - Censo Demografico 2022, Populacao residente",censo_2022_oficial_sidra
3300936,330093,Carapebus,2024,14325,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300936,330093,Carapebus,2025,14329,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300951,330095,Comendador Levy Gasparian,2017,8336,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300951,330095,Comendador Levy Gasparian,2018,8544,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300951,330095,Comendador Levy Gasparian,2019,8561,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300951,330095,Comendador Levy Gasparian,2020,8576,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300951,330095,Comendador Levy Gasparian,2021,8590,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300951,330095,Comendador Levy Gasparian,2022,8741,"SIDRA 4714 v93 - Censo Demografico 2022, Populacao residente",censo_2022_oficial_sidra
3300951,330095,Comendador Levy Gasparian,2024,9044,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300951,330095,Comendador Levy Gasparian,2025,9048,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301009,330100,Campos dos Goytacazes,2017,490288,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301009,330100,Campos dos Goytacazes,2018,503424,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301009,330100,Campos dos Goytacazes,2019,507548,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301009,330100,Campos dos Goytacazes,2020,511168,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301009,330100,Campos dos Goytacazes,2021,514643,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301009,330100,Campos dos Goytacazes,2022,483540,"SIDRA 4714 v93 - Censo Demografico 2022, Populacao residente",censo_2022_oficial_sidra
3301009,330100,Campos dos Goytacazes,2024,519011,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301009,330100,Campos dos Goytacazes,2025,519259,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301108,330110,Cantagalo,2017,19697,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301108,330110,Cantagalo,2018,20177,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301108,330110,Cantagalo,2019,20172,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301108,330110,Cantagalo,2020,20168,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301108,330110,Cantagalo,2021,20163,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301108,330110,Cantagalo,2022,19390,"SIDRA 4714 v93 - Censo Demografico 2022, Populacao residente",censo_2022_oficial_sidra
3301108,330110,Cantagalo,2024,19996,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301108,330110,Cantagalo,2025,19995,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301157,330115,Cardoso Moreira,2017,12519,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301157,330115,Cardoso Moreira,2018,12826,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301157,330115,Cardoso Moreira,2019,12823,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301157,330115,Cardoso Moreira,2020,12821,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301157,330115,Cardoso Moreira,2021,12818,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301157,330115,Cardoso Moreira,2022,12958,"SIDRA 4714 v93 - Censo Demografico 2022, Populacao residente",censo_2022_oficial_sidra
3301157,330115,Cardoso Moreira,2024,13403,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301157,330115,Cardoso Moreira,2025,13407,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301207,330120,Carmo,2017,18264,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301207,330120,Carmo,2018,18755,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301207,330120,Carmo,2019,18895,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301207,330120,Carmo,2020,19030,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301207,330120,Carmo,2021,19161,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301207,330120,Carmo,2022,17198,"SIDRA 4714 v93 - Censo Demografico 2022, Populacao residente",censo_2022_oficial_sidra
3301207,330120,Carmo,2024,17740,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301207,330120,Carmo,2025,17741,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
