modelo_id,macro_regiao,desfecho,exposicao,p_associacao,metodo_p,p_curva_auc,metodo_p_curva_auc,alerta_convergencia,avisos_modelo,cen,cen_mmt,cen_percentil_mmt,auc_rr_cumulativo,auc_excesso_rr_cumulativo,auc_protecao_rr_cumulativo,rr_cumulativo_max,exposicao_rr_max,p_associacao_fdr,p_curva_fdr,classe_fdr
baixada_litoranea_obitos_i60_i64_temp_med,Baixada Litoranea,obitos_i60_i64,temp_med,0.7279824097726402,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.5523,0.1597239763531382,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,FALSE,,27.885071078431366,27.885071078431366,99,12.245187020371509,2.0955326086068085,0,1.612421411397536,17.735416666666666,0.8486508235574685,0.20845990626614727,nao_sustentado
baixada_litoranea_obitos_i60_i64_ur_med,Baixada Litoranea,obitos_i60_i64,ur_med,0.08478578757020669,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.01164,0.008970290923341465,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,FALSE,,84.11621835443037,84.11621835443037,73.3,73.41036976657321,21.630994766573227,0,2.2491448214003174,92.63687499999999,0.2756045074606045,0.03955489111464134,p_nominal
baixada_litoranea_internacoes_i60_i62_temp_med,Baixada Litoranea,internacoes_i60_i62,temp_med,0.3755354995016664,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.2021,0.4503866603664385,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,FALSE,,27.885071078431366,27.885071078431366,99,12.288505715775706,2.138851304011006,0,1.4005468442042979,19.791042876644326,0.6308996391627996,0.4729059933847604,nao_sustentado
baixada_litoranea_internacoes_i60_i62_ur_med,Baixada Litoranea,internacoes_i60_i62,ur_med,0.16922233201927894,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.1468,0.24544115071942763,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,FALSE,,40.8575,40.8575,1,62.59762884373459,10.8182538437346,0,1.3952454649543964,92.63687499999999,0.43514313947814587,0.28114168173316256,nao_sustentado
baixada_litoranea_obitos_i60_i62_temp_med,Baixada Litoranea,obitos_i60_i62,temp_med,0.7341503156171751,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.5909,0.19006746951280223,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,TRUE,glm.fit: algoritmo não convergiu,27.885071078431366,27.885071078431366,99,15.253379407992453,5.103724996227752,0,2.055139333814492,18.120846581037476,0.8486508235574685,0.22965100922659074,cautela_convergencia
baixada_litoranea_obitos_i63_temp_med,Baixada Litoranea,obitos_i63,temp_med,1,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=1,1,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,TRUE,glm.fit: algoritmo não convergiu | fitting to calculate the null deviance did not converge -- increase 'maxit'? | Binomial negativa rejeitada por instabilidade numerica; mantido Quasi-Poisson.,21.075809257880366,21.075809257880366,18,2692639.777781083,2692629.628126671,0,12227719.28785444,27.885071078431366,1,1,cautela_convergencia
centro_sul_internacoes_i60_i69_temp_med,Centro-Sul,internacoes_i60_i69,temp_med,0.7795099960124434,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.6351,0.040357177601015655,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,FALSE,,23.870972046413492,23.870972046413492,75.9,24.576192551755934,4.248859218422609,0,1.339079667948528,14.350575421940924,0.8769487455139988,0.07589558772728318,p_nominal
centro_sul_internacoes_i60_i69_ur_med,Centro-Sul,internacoes_i60_i69,ur_med,0.28742555320422913,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.164,0.10590387344507371,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,FALSE,,99.57554347826085,99.57554347826085,99,59.35232317578036,11.221931212671022,0,1.4066598188519637,51.445151515151515,0.5405316373691473,0.15337802361010675,nao_sustentado
centro_sul_obitos_i60_i69_temp_med,Centro-Sul,obitos_i60_i69,temp_med,0.22864010944816535,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.0844,0.005993434364326815,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,FALSE,,24.385588080168766,24.385588080168766,79.6,30.548293409052377,10.220960075719052,0,1.9281746463738345,7.917875,0.488282267635065,0.031087892561245722,p_nominal
centro_sul_obitos_i60_i69_ur_med,Centro-Sul,obitos_i60_i69,ur_med,0.4171066549586459,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.2883,0.3723160092586343,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,FALSE,,99.57554347826085,99.57554347826085,99,58.70799844801096,10.57760648490162,0,1.2640877208835724,64.84855180867564,0.6665902539183746,0.39755777259820274,nao_sustentado
centro_sul_internacoes_i60_i64_temp_med,Centro-Sul,internacoes_i60_i64,temp_med,0.8407467830290923,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.8286,0.09891914427574097,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,FALSE,,23.870972046413492,23.870972046413492,75.9,22.935842952337907,2.6085096190045847,0,1.2791127594219005,28.245208333333323,0.8977465649293698,0.14663308445580428,nao_sustentado
centro_sul_internacoes_i60_i64_ur_med,Centro-Sul,internacoes_i60_i64,ur_med,0.4232319072497616,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.1765,0.07856332260117876,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,FALSE,,99.57554347826085,99.57554347826085,99,59.54344189699736,11.413049933888022,0,1.4262581541108474,51.445151515151515,0.6665902539183746,0.1253035271866902,nao_sustentado
centro_sul_obitos_i60_i64_temp_med,Centro-Sul,obitos_i60_i64,temp_med,0.6210341442664687,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.4544,0.08790733818956732,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,FALSE,,24.12828006329113,24.12828006329113,77.6,28.02618888879851,7.698855555465187,0,1.9433489439111087,7.917875,0.8151073143497403,0.1334496941191022,nao_sustentado
centro_sul_obitos_i60_i64_ur_med,Centro-Sul,obitos_i60_i64,ur_med,0.2929492274181863,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.1266,0.24417203819076805,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,FALSE,,99.57554347826085,99.57554347826085,99,60.929332605799004,12.798940642689669,0,1.498451039612142,88.60912505628659,0.5428176860984041,0.28114168173316256,nao_sustentado
centro_sul_internacoes_i60_i62_temp_med,Centro-Sul,internacoes_i60_i62,temp_med,0.26087556586968297,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.09525,0.04851867749563354,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,FALSE,,24.385588080168766,24.385588080168766,79.6,28.589818606731072,8.262485273397747,0,1.9272791794776867,28.245208333333323,0.5176055040431903,0.08610356851337783,p_nominal
centro_sul_internacoes_i60_i62_ur_med,Centro-Sul,internacoes_i60_i62,ur_med,0.9288320741534573,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.8311,0.18777064935789994,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,FALSE,,51.445151515151515,51.445151515151515,1,68.39244940970889,20.26205744659955,0,1.721710506383366,74.596479294875,0.9592855847814395,0.22965100922659074,nao_sustentado
centro_sul_obitos_i60_i62_temp_med,Centro-Sul,obitos_i60_i62,temp_med,0.31771628965389737,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.1647,0.3700592021138032,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,TRUE,glm.fit: algoritmo não convergiu,28.245208333333323,28.245208333333323,99,25.438246424839445,5.110913091506124,0,2.0092055223105456,7.917875,0.5715001939974955,0.39755777259820274,cautela_convergencia
