macro_regiao,desfecho,exposicao,n_lags,auc_min,auc_max,auc_amplitude,rr_max_min,rr_max_max,rr_max_amplitude,p_curva_min,p_consistente_005,interpretacao
Metropolitana II,obitos_i60_i64,ur_med,3,9.4250157602338,14.32612831629569,4.901112556061891,1.3412983158230392,1.7393575242727966,0.3980592084497574,0.030294335649419944,TRUE,Associacao estavel nos tras lags avaliados.
Centro-Sul,internacoes_i60_i69,ur_med,3,5.35449453634889,10.482086769220762,5.127592232871873,1.2478969916495775,1.4261933964331999,0.1782964047836224,0.125813147806049,FALSE,"Direcao da associaaao preservada, mas significancia varia conforme o lag."
Medio Paraiba,internacoes_i60_i69,ur_med,3,11.317728622626053,16.78839856323454,5.470669940608488,1.5831206142078658,1.6701874161690644,0.08706680196119865,2.689165522924974e-4,FALSE,"Direcao da associaaao preservada, mas significancia varia conforme o lag."
Metropolitana II,internacoes_i60_i69,ur_med,3,2.1241522438041756,7.697816723771289,5.573664479967113,1.2183892675116743,1.4984571796457737,0.28006791213409943,0.004149754090703465,TRUE,Associacao estavel nos tras lags avaliados.
Noroeste,internacoes_i60_i69,temp_med,3,3.4088429746790068,9.655855715312228,6.247012740633221,1.4757350837699608,2.8659469553957484,1.3902118716257876,8.051883310458668e-5,TRUE,Associacao estavel nos tras lags avaliados.
Baia da Ilha Grande,internacoes_i60_i64,ur_med,3,2.0745408540739128,8.761972306004468,6.687431451930555,1.3164393452571654,2.7768497111236408,1.4604103658664753,0.01629502604983796,FALSE,"Direcao da associaaao preservada, mas significancia varia conforme o lag."
Centro-Sul,obitos_i60_i69,temp_med,3,9.061872831949056,15.830920407736444,6.769047575787388,1.8643739307311882,2.3950037162838296,0.5306297855526414,0.0018586155269847643,TRUE,Associacao estavel nos tras lags avaliados.
Baia da Ilha Grande,internacoes_i60_i69,ur_med,3,1.9056050803677937,8.734379400185066,6.828774319817272,1.2580672509452977,2.557103177239378,1.2990359262940803,0.024221487032296537,FALSE,"Direcao da associaaao preservada, mas significancia varia conforme o lag."
Centro-Sul,obitos_i60_i64,temp_med,3,6.155204422684858,13.083860645465185,6.928656222780327,1.8343169513067077,2.250783774467564,0.41646682316085637,0.009369830671176098,FALSE,"Direcao da associaaao preservada, mas significancia varia conforme o lag."
Norte,obitos_i60_i69,ur_med,3,6.909578385114442,14.308631285965033,7.399052900850591,1.3509232312184163,1.744191779370715,0.3932685481522986,0.010263460601404753,TRUE,Associacao estavel nos tras lags avaliados.
