modelo_id,percentil,rr_median,rr_range,prob_median,prob_range,prior_robusto
noroeste_internacoes_i60_i69_ur_med,P05,1.1127937831880048,9.014796059381158e-4,0.6344925637906408,0.009581914743161501,TRUE
noroeste_internacoes_i60_i69_ur_med_2,P95,1.178891394144406,0.015437744556693112,0.7506105420142428,0.019918292283071848,TRUE
noroeste_obitos_i60_i69_temp_med,P05,1.286986814453963,0.005256417632020671,0.9937386298718898,3.000525310057345e-4,TRUE
noroeste_obitos_i60_i69_temp_med_2,P95,1.1123514697555759,0.002117536892264571,0.5365686505142515,0.007328326352838754,TRUE
noroeste_obitos_i60_i69_ur_med,P05,1.0449695828035452,0.0013547478395783408,0.17986227477207833,0.0011125130052427046,TRUE
noroeste_obitos_i60_i69_ur_med_2,P95,1.097377987512307,6.002216384504155e-4,0.4679783485860092,0.005454990137860605,TRUE
norte_internacoes_i60_i69_temp_med,P05,1.4633699223554264,0.04653340259964733,0.9781912876286792,0.006633408715934097,TRUE
norte_internacoes_i60_i69_temp_med_2,P95,1.1082311483138583,5.652893402618986e-4,0.5803383701029972,0.00518302097508172,TRUE
norte_internacoes_i60_i69_ur_med,P05,1.1557207849931908,0.0024110601922406882,0.8681896455432656,0.004242167812889774,TRUE
norte_internacoes_i60_i69_ur_med_2,P95,1.1780815246935041,0.014284511123637378,0.7582061657876432,0.019851323138267207,TRUE
norte_obitos_i60_i69_temp_med,P05,1.2904408701009507,0.005264131924276105,0.9974298599167497,8.154415372674251e-5,TRUE
norte_obitos_i60_i69_temp_med_2,P95,1.1163330513388785,0.0019741332506639786,0.5596496418537908,0.007327785702998857,TRUE
norte_obitos_i60_i69_ur_med,P05,1.1679729802202805,0.00976391838782975,0.6736370471429638,0.021026218237577443,TRUE
norte_obitos_i60_i69_ur_med_2,P95,1.1027036133407144,6.768532728751442e-4,0.512341658373572,0.0062341569356391124,TRUE
serrana_internacoes_i60_i69_temp_med,P05,1.4290169190624626,0.03252717518768011,0.9846230373823919,0.005046020925392081,TRUE
serrana_internacoes_i60_i69_temp_med_2,P95,1.1067112483401422,6.428235621509515e-4,0.557709426431149,0.005044901557144543,TRUE
serrana_internacoes_i60_i69_ur_med,P05,1.19649062880256,0.008780519657397123,0.8865014471068209,0.007753514766173253,TRUE
serrana_internacoes_i60_i69_ur_med_2,P95,1.1407293482718286,0.005407373126123272,0.6888032665037541,0.012218040596622015,TRUE
serrana_obitos_i60_i69_temp_med,P05,1.2894721009517103,0.005503759838042743,0.9953361244410756,1.6820574797060672e-4,TRUE
serrana_obitos_i60_i69_temp_med_2,P95,1.0028233583556108,1.029315555136634e-4,9.589907639574972e-14,4.772078727179965e-15,TRUE
serrana_obitos_i60_i69_ur_med,P05,1.1836867322053741,0.011188976964332964,0.7161252066554077,0.02224175553089558,TRUE
serrana_obitos_i60_i69_ur_med_2,P95,1.097186592422376,4.986658557539769e-4,0.46690091929992594,0.005239498923740427,TRUE
