macro_regiao,desfecho,exposicao,familia,dispersao,alerta_convergencia,avisos_modelo,p_associacao,metodo_p,df_exp,df_lag,lag_max,cen,cen_mmt,cen_percentil_mmt,percentil,valor,rr_cumulativo,ic95_inf,ic95_sup,modelo_id,theta_hat,se_theta,rr_bayes,cri95_inf_bayes,cri95_sup_bayes,prob_rr_maior_1_10,prior_especificacao
Noroeste,obitos_i60_i69,temp_med,quasipoisson,1.0171122196324631,FALSE,,0.6695397028779452,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.6438,4,3,14,23.69876687763713,23.69876687763713,48.9,P95,29.548183333333327,1.1263342408167143,0.7674140625804698,1.6531216769345267,noroeste_obitos_i60_i69_temp_med_2,0.11896832476071267,0.19576742437943606,1.1187572600211184,0.9256096555086254,1.3522091082360115,0.561369633570218,flat
Norte,obitos_i60_i69,temp_med,quasipoisson,0.9852453555450292,FALSE,,0.1522662283083023,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.03138,4,3,14,23.855211497890295,23.855211497890295,51,P95,28.052695138888883,1.1357011410122264,0.8614174259408658,1.4973194677222792,norte_obitos_i60_i69_temp_med_2,0.1272502055924498,0.14103640911256038,1.121947403502609,0.9480581140492995,1.3277308189999728,0.5832738216904528,flat
Serrana,obitos_i60_i69,temp_med,quasipoisson,1.0222944678789712,FALSE,,0.4662252848446166,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.3786,4,3,14,23.37515738396624,23.37515738396624,98.2,P95,23.21020541666666,1.0002622795254743,0.97588132246377,1.0252523588785492,serrana_obitos_i60_i69_temp_med_2,2.6224513621250035e-4,0.012590303255354096,1.0027988232523781,0.9783385027938211,1.0278706981731451,9.781107735231873e-14,flat
Baia da Ilha Grande,obitos_i60_i69,ur_med,quasipoisson,0.98298862661401,FALSE,,0.462097100500983,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.3938,4,3,14,62.48496323529412,62.48496323529412,1,P05,64.0613088235294,1.1734073857686564,1.019881182379887,1.3500444137654146,baia_da_ilha_grande_obitos_i60_i69_ur_med,0.1599118118213766,0.07154502852061215,1.1571041356921665,1.0173706321076244,1.3160297128512737,0.7724944650083889,flat
Baixada Litoranea,obitos_i60_i69,ur_med,quasipoisson,1.040311432543744,FALSE,,0.19749754033782485,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.1167,4,3,14,84.11621835443037,84.11621835443037,73.3,P05,43.44646875,1.5031426430023087,1.030418759166452,2.1927374527223455,baixada_litoranea_obitos_i60_i69_ur_med,0.40755801179141793,0.19265289201985744,1.2328056885773009,0.9564364665856507,1.5890337925048692,0.8016747759227151,flat
Centro-Sul,obitos_i60_i69,ur_med,quasipoisson,1.0109270713099685,FALSE,,0.4171066549586459,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.2883,4,3,14,99.57554347826084,99.57554347826084,99,P05,53.851671113306985,1.233940144334006,0.6762613336568831,2.25150870531888,centro_sul_obitos_i60_i69_ur_med,0.21021241890483092,0.30683630568920367,1.1619019838176279,0.8989843554810119,1.5017126958533087,0.6419093658675833,flat
Medio Paraiba,obitos_i60_i69,ur_med,quasipoisson,0.9843950405936606,FALSE,,0.02246449621141644,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=3.548e-05,4,3,14,82.13486462728551,82.13486462728551,78.8,P05,55.58532569444444,1.455019764325293,1.1273574299370597,1.877915963791029,medio_paraiba_obitos_i60_i69_ur_med,0.3750194842599215,0.1301774674546933,1.2610437441506055,1.0049918335841252,1.5823325837286653,0.8764077408040332,flat
Metropolitana I,obitos_i60_i69,ur_med,quasipoisson,1.0507396245994207,FALSE,,0.1913791320136793,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.1843,4,3,14,54.58156944444445,54.58156944444445,1,P05,56.467249305555555,1.0101638229955356,0.977051868055714,1.044397930807465,metropolitana_i_obitos_i60_i69_ur_med,0.010112518685689343,0.01700442364858528,1.0147733421692062,0.9810980624052934,1.0496044946339553,1.2888258323058913e-6,flat
Metropolitana II,obitos_i60_i69,ur_med,quasipoisson,1.018451200552375,FALSE,,0.3448609526331832,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.3744,4,3,14,97.54166666666669,97.54166666666669,99,P05,60.56819444444445,1.2788641002934813,0.937181835892076,1.7451185291728115,metropolitana_ii_obitos_i60_i69_ur_med,0.245972262294111,0.15859996333240073,1.1873681151245918,0.9590750046376711,1.4700029027939796,0.74240662609647,flat
Noroeste,obitos_i60_i69,ur_med,quasipoisson,1.020072201095702,FALSE,,0.903625652968461,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.6853,4,3,14,55.11958333333334,55.11958333333334,1,P05,57.1031875,1.006316379695103,0.8849958860467407,1.144268207354327,noroeste_obitos_i60_i69_ur_med,0.006296514973742931,0.06554650927611763,1.043755397225611,0.9321975982384108,1.1686635229443822,0.17724383171668848,flat
Norte,obitos_i60_i69,ur_med,quasipoisson,0.9837195384362896,FALSE,,0.19309533576408505,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.05389,4,3,14,92.2459722222222,92.2459722222222,99,P05,64.69610416666666,1.2687858602898845,0.8113417047190985,1.9841425011289056,norte_obitos_i60_i69_ur_med,0.23806042767642277,0.22812990815117512,1.1729926036662457,0.922910725594776,1.4908393738397638,0.6803424348759762,flat
Serrana,obitos_i60_i69,ur_med,quasipoisson,1.0208285935074046,FALSE,,0.10561866491359574,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.0533,4,3,14,96.824375,96.824375,99,P05,61.047836805555555,1.3275281474779768,0.8907012383834249,1.9785882250987388,serrana_obitos_i60_i69_ur_med,0.283318677282409,0.2036082798597036,1.189577698606521,0.9384200971405017,1.507954811852369,0.7234975878433636,flat
Baia da Ilha Grande,obitos_i60_i69,ur_med,quasipoisson,0.98298862661401,FALSE,,0.462097100500983,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.3938,4,3,14,62.48496323529412,62.48496323529412,1,P95,92.4355294117647,1.243902368982335,0.5459736547902669,2.8340068975567134,baia_da_ilha_grande_obitos_i60_i69_ur_med_2,0.21825350971169744,0.42012918191768456,1.1027995098823664,1.0048896874876734,1.210249019509125,0.5106528597472573,flat
Baixada Litoranea,obitos_i60_i69,ur_med,quasipoisson,1.040311432543744,FALSE,,0.19749754033782485,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.1167,4,3,14,84.11621835443037,84.11621835443037,73.3,P95,90.04790624999998,1.3120159970524836,1.0234312275729276,1.6819752320865746,baixada_litoranea_obitos_i60_i69_ur_med_2,0.27156488332293344,0.12673903949422707,1.1125401585142622,1.0154552450662797,1.2189070964187607,0.5719159586571851,flat
Centro-Sul,obitos_i60_i69,ur_med,quasipoisson,1.0109270713099685,FALSE,,0.4171066549586459,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.2883,4,3,14,99.57554347826084,99.57554347826084,99,P95,97.1690238801054,1.0700140584853357,0.8904357342899454,1.2858087802027105,centro_sul_obitos_i60_i69_ur_med_2,0.06767178715884369,0.09373444388964976,1.0983513926368185,1.0162416943313848,1.18709534201994,0.4848458082409208,flat
Medio Paraiba,obitos_i60_i69,ur_med,quasipoisson,0.9843950405936606,FALSE,,0.02246449621141644,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=3.548e-05,4,3,14,82.13486462728551,82.13486462728551,78.8,P95,89.26368819444444,1.22151037704841,0.9136200593460084,1.6331598523625035,medio_paraiba_obitos_i60_i69_ur_med_2,0.20008810701187746,0.148180575381584,1.106636805164782,1.0139018607979449,1.2078536058524587,0.5360661019719556,flat
Metropolitana I,obitos_i60_i69,ur_med,quasipoisson,1.0507396245994207,FALSE,,0.1913791320136793,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.1843,4,3,14,54.58156944444445,54.58156944444445,1,P95,90.40948680555552,1.102539704526566,0.947090710354162,1.283503033836072,metropolitana_i_obitos_i60_i69_ur_med_2,0.09761634086642865,0.07754058002072498,1.1011917545913301,1.0222712422534437,1.1862050209950994,0.5061457771178761,flat
Metropolitana II,obitos_i60_i69,ur_med,quasipoisson,1.018451200552375,FALSE,,0.3448609526331832,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.3744,4,3,14,97.54166666666669,97.54166666666669,99,P95,95.59569444444443,1.04970851707259,0.958395773180504,1.1497212338051566,metropolitana_ii_obitos_i60_i69_ur_med_2,0.048512522842635984,0.046432988299080595,1.0893111476477957,1.0198239512914324,1.1635329557490128,0.39473436852706656,flat
Noroeste,obitos_i60_i69,ur_med,quasipoisson,1.020072201095702,FALSE,,0.903625652968461,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.6853,4,3,14,55.11958333333334,55.11958333333334,1,P95,92.8080625,1.0251696442437463,0.5738580144925913,1.831416087145051,noroeste_obitos_i60_i69_ur_med_2,0.024858105474933362,0.2960418583322781,1.1007506150464308,1.005218697714598,1.2053614992238315,0.5001161743951569,flat
Norte,obitos_i60_i69,ur_med,quasipoisson,0.9837195384362896,FALSE,,0.19309533576408505,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.05389,4,3,14,92.2459722222222,92.2459722222222,99,P95,90.79597916666664,1.1370347997740995,0.99843874112506,1.2948697628064003,norte_obitos_i60_i69_ur_med_2,0.12842382096150182,0.06632075941008107,1.1059452026994228,1.0282438377852132,1.1895182314035517,0.54568333835977,flat
Serrana,obitos_i60_i69,ur_med,quasipoisson,1.0208285935074046,FALSE,,0.10561866491359574,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.0533,4,3,14,96.824375,96.824375,99,P95,94.94139930555554,1.0934999516890669,0.9370797108929748,1.2760303423969437,serrana_obitos_i60_i69_ur_med_2,0.08938351695459021,0.07876187940742213,1.1001660206528077,1.0211527074227824,1.1852931145369943,0.49819994601295936,flat
