modelo_id,macro_regiao,desfecho,exposicao,familia,dispersao,alerta_convergencia,avisos_modelo,df_exp,df_lag,lag_max,percentil,valor,rr_cumulativo,ic95_inf,ic95_sup,theta_hat,se_theta,rr_bayes,cri95_inf_bayes,cri95_sup_bayes,prob_rr_maior_1_10,prob_rr_menor_0_91,mu_grupo_bayes,tau_grupo_bayes,metodo_bayes,auc_excesso_rr_cumulativo,rr_cumulativo_max,exposicao_rr_max,alerta_convergencia_auc,avisos_modelo_auc,residuos_lag21_estatistica,residuos_diagnostico,ic95_dlnm,cri95_bayes,efeito_posterior_relevante,auc_alta,residuos_ok,categoria_bayes,ordem_curadoria
baia_da_ilha_grande_internacoes_i60_i69_temp_med,Baia da Ilha Grande,internacoes_i60_i69,temp_med,quasipoisson,1.0438292976113783,FALSE,,4,3,14,P05,17.368794791666666,1.5822561554765815,1.043693343308269,2.3987261752651423,0.45885177499693586,0.2122927076363119,1.3884154032002194,1.0398136140499294,1.8538873753878975,0.9587388841215524,7.687650136126552e-4,0.2671652622541142,0.1628740247066152,"Modelo hierarquico normal-normal por desfecho, exposicao e percentil; macrorregiao como nivel.",3.1959236722759923,1.5890143511965094,16.731,FALSE,,63.43781679085977,residuos_com_autocorrelacao_estatisticamente_detectavel_ate_lag21,1.58 (1.04-2.40),1.39 (1.04-1.85),TRUE,FALSE,FALSE,principal_estabilizado_com_dependencia_de_sensibilidade,3
baixada_litoranea_internacoes_i60_i69_temp_med,Baixada Litoranea,internacoes_i60_i69,temp_med,quasipoisson,1.0311421293369818,FALSE,,4,3,14,P05,18.903922735507248,1.3656540708365932,1.0300968558321564,1.8105200793821692,0.31163348664437085,0.14387032428123486,1.3263550821271848,1.0606312621288556,1.6586516602891574,0.9569725044628614,3.112996874731581e-4,0.2671652622541142,0.1628740247066152,"Modelo hierarquico normal-normal por desfecho, exposicao e percentil; macrorregiao como nivel.",1.3048028669953593,1.4534389592819557,18.42945923913043,FALSE,,55.320224617092634,residuos_com_autocorrelacao_estatisticamente_detectavel_ate_lag21,1.37 (1.03-1.81),1.33 (1.06-1.66),TRUE,FALSE,FALSE,principal_estabilizado_com_dependencia_de_sensibilidade,3
metropolitana_ii_internacoes_i60_i69_ur_med,Metropolitana II,internacoes_i60_i69,ur_med,quasipoisson,1.4134515032013777,FALSE,,4,3,14,P05,60.44377083333334,1.430234571903987,1.0952022663678178,1.8677562980703208,0.3578384671158282,0.13617566693408778,1.20642208516065,1.0143657398017778,1.4348416852562351,0.9050144409129979,2.8874994834557596e-5,0.15396999915682982,0.06332990172027107,"Modelo hierarquico normal-normal por desfecho, exposicao e percentil; macrorregiao como nivel.",7.697816723771289,1.4984571796457735,58.49125,FALSE,,64.56443266521546,residuos_com_autocorrelacao_estatisticamente_detectavel_ate_lag21,1.43 (1.10-1.87),1.21 (1.01-1.43),TRUE,FALSE,FALSE,principal_estabilizado_com_dependencia_de_sensibilidade,3
baixada_litoranea_internacoes_i60_i69_ur_med,Baixada Litoranea,internacoes_i60_i69,ur_med,quasipoisson,1.03098270961832,FALSE,,4,3,14,P05,61.26511476449276,1.338304955334619,1.0587794499707963,1.6916272350418182,0.2914038545217122,0.11953641698495661,1.1956717699928467,1.0236210880290901,1.3966408061311826,0.8988950750405125,2.944725789106171e-5,0.15396999915682982,0.06332990172027107,"Modelo hierarquico normal-normal por desfecho, exposicao e percentil; macrorregiao como nivel.",5.001444483244934,1.3683040794195132,59.61916666666667,FALSE,,55.295258277568365,residuos_com_autocorrelacao_estatisticamente_detectavel_ate_lag21,1.34 (1.06-1.69),1.20 (1.02-1.40),TRUE,FALSE,FALSE,principal_estabilizado_com_dependencia_de_sensibilidade,3
serrana_internacoes_i60_i69_ur_med,Serrana,internacoes_i60_i69,ur_med,negative_binomial,16.492591249891266,FALSE,,4,3,14,P05,61.047836805555555,1.3963839515152616,1.0389749531664618,1.8767422006726384,0.33388600342651553,0.15084532195761585,1.19649062880256,1.010665009062105,1.416483020561737,0.8865014471068209,1.1536204943711323e-4,0.15396999915682982,0.06332990172027107,"Modelo hierarquico normal-normal por desfecho, exposicao e percentil; macrorregiao como nivel.",7.5578789283823475,1.592216898061861,59.16486111111111,FALSE,,41.27302977375393,residuos_com_autocorrelacao_estatisticamente_detectavel_ate_lag21,1.40 (1.04-1.88),1.20 (1.01-1.42),TRUE,FALSE,FALSE,principal_estabilizado_com_dependencia_de_sensibilidade,3
baia_da_ilha_grande_internacoes_i60_i69_ur_med,Baia da Ilha Grande,internacoes_i60_i69,ur_med,quasipoisson,1.0449689909260238,FALSE,,4,3,14,P05,64.0613088235294,1.3304333160839918,1.0230357180317398,1.73019649006168,0.28550469073876783,0.1340485291893818,1.1903162738913635,1.0176379106317714,1.3922956457184334,0.8835334473324313,9.904016774640466e-5,0.15396999915682982,0.06332990172027107,"Modelo hierarquico normal-normal por desfecho, exposicao e percentil; macrorregiao como nivel.",5.501902106244629,1.8954958824547197,94.011875,FALSE,,66.52554385505458,residuos_com_autocorrelacao_estatisticamente_detectavel_ate_lag21,1.33 (1.02-1.73),1.19 (1.02-1.39),TRUE,FALSE,FALSE,principal_estabilizado_com_dependencia_de_sensibilidade,3
medio_paraiba_obitos_i60_i69_ur_med,Medio Paraiba,obitos_i60_i69,ur_med,quasipoisson,0.9843950405936606,FALSE,,4,3,14,P05,55.58532569444444,1.455019764325293,1.1273574299370597,1.877915963791029,0.3750194842599215,0.1301774674546933,1.2530362241436548,1.0039526200749975,1.5639182045253264,0.8708672959632389,7.098764428463191e-5,0.1398864163965814,0.11236509857063116,"Modelo hierarquico normal-normal por desfecho, exposicao e percentil; macrorregiao como nivel.",5.971608772056327,1.570803821407411,53.714305555555555,FALSE,,70.19996916754725,residuos_com_autocorrelacao_estatisticamente_detectavel_ate_lag21,1.46 (1.13-1.88),1.25 (1.00-1.56),TRUE,FALSE,FALSE,principal_estabilizado_com_dependencia_de_sensibilidade,3
centro_sul_internacoes_i60_i69_temp_med,Centro-Sul,internacoes_i60_i69,temp_med,quasipoisson,1.46409470561819,FALSE,,4,3,14,P05,8.915106250000001,1.2187475004380466,0.8110691657143655,1.8313425446469025,0.1978236924051883,0.2077719997098072,1.2660204006251807,0.972557160707914,1.648034397929348,0.8644180781865236,0.008400743234277438,0.2671652622541142,0.1628740247066152,"Modelo hierarquico normal-normal por desfecho, exposicao e percentil; macrorregiao como nivel.",3.774588149069565,1.3145171735862156,14.22946518987342,FALSE,,52.733575391295254,residuos_com_autocorrelacao_estatisticamente_detectavel_ate_lag21,1.22 (0.81-1.83),1.27 (0.97-1.65),TRUE,FALSE,FALSE,principal_estabilizado_com_dependencia_de_sensibilidade,3
medio_paraiba_internacoes_i60_i69_temp_med,Medio Paraiba,internacoes_i60_i69,temp_med,negative_binomial,5.853062361993612,FALSE,,4,3,14,P05,15.312019791666666,1.1363771616094325,0.8175889771037377,1.5794648528678237,0.12784527365535467,0.16798309453230809,1.2188985298611315,0.9631452927725124,1.5425643848820034,0.8146628144545097,0.010379951358672495,0.2671652622541142,0.1628740247066152,"Modelo hierarquico normal-normal por desfecho, exposicao e percentil; macrorregiao como nivel.",2.6174860515495486,1.358852831359736,18.1086289556962,FALSE,,77.39086415129587,residuos_com_autocorrelacao_estatisticamente_detectavel_ate_lag21,1.14 (0.82-1.58),1.22 (0.96-1.54),TRUE,FALSE,FALSE,principal_estabilizado_com_dependencia_de_sensibilidade,3
baixada_litoranea_obitos_i60_i69_ur_med,Baixada Litoranea,obitos_i60_i69,ur_med,quasipoisson,1.0402712994403809,FALSE,,4,3,14,P05,61.26511476449276,1.4151287173144491,1.0352003091716586,1.9344944826866024,0.347220493257982,0.1595057625041132,1.2208280453844975,0.9740635241503282,1.530106691652807,0.8076260730867151,7.85798106195213e-4,0.1398864163965814,0.11236509857063116,"Modelo hierarquico normal-normal por desfecho, exposicao e percentil; macrorregiao como nivel.",7.492005512871421,1.6113177718397702,92.53812862318836,FALSE,,55.36730932934554,residuos_com_autocorrelacao_estatisticamente_detectavel_ate_lag21,1.42 (1.04-1.93),1.22 (0.97-1.53),TRUE,FALSE,FALSE,principal_estabilizado_com_dependencia_de_sensibilidade,3
