data,temp_med,ur_med,n_macros
2017-11-19,24.32153371320038,81.08345204178538,9
2017-11-20,22.420293209876544,92.37310606060606,9
2017-11-21,23.197980407944176,86.13677536231884,9
2017-11-22,23.29780864197531,89.01635802469136,9
2017-11-23,19.945314253647588,88.01473063973064,9
2017-11-24,21.380368165784834,79.40861992945327,9
2017-11-25,23.888811728395062,78.56746031746032,9
2017-11-26,24.700694444444444,75.74768518518519,9
2017-11-27,24.331902356902358,78.93132716049382,9
2017-11-28,22.90270061728395,87.31558641975309,9
2017-11-29,22.305015432098767,77.52160493827161,9
2017-11-30,21.429166666666667,79.55787037037037,9
2017-12-01,21.001410934744268,91.34303350970018,9
2017-12-02,22.418672839506172,84.84567901234568,9
2017-12-03,22.96178118908382,83.6539554905783,9
2017-12-04,23.822210351377016,84.3051044634378,9
2017-12-05,23.868329124579123,85.10662177328844,9
2017-12-06,23.0625,76.66666666666667,9
2017-12-07,22.976304713804712,76.29249926804275,9
2017-12-08,22.666820987654322,88.05555555555556,9
2017-12-09,23.60415263748597,84.24417789001123,9
2017-12-10,23.798688271604938,78.66203703703704,9
2017-12-11,24.36226851851852,77.59953703703704,9
2017-12-12,22.439583333333335,81.08641975308642,9
2017-12-13,22.28287037037037,74.12037037037037,9
2017-12-14,23.15462627482555,73.07521470746109,9
2017-12-15,24.234876543209875,76.73379629629629,9
2017-12-16,24.616512345679013,78.28163580246914,9
2017-12-17,25.836111111111112,73.88811728395062,9
2017-12-18,26.071913580246914,70.95833333333333,9
2017-12-19,25.337338664422,75.33641975308642,9
2017-12-20,25.44266975308642,73.99074074074073,9
2017-12-21,25.23507495590829,75.55742945326278,9
2017-12-22,24.063271604938272,83.00308641975309,9
2017-12-23,26.384645061728396,73.5,9
2017-12-24,26.767438271604938,72.14351851851852,9
2017-12-25,26.562174584004293,75.88778180354268,9
2017-12-26,25.312342324208267,81.32112245644855,9
2017-12-27,25.62618827160494,80.81975308641975,9
2017-12-28,25.042206790123455,83.4837962962963,9
2017-12-29,24.27810746352413,85.53451178451178,9
2017-12-30,24.047015107212477,85.99829434697855,9
2017-12-31,25.027083333333334,79.93441358024691,9
2018-01-01,25.8300815696649,77.26565255731921,9
2018-01-02,26.61639492753623,76.15056360708535,9
2018-01-03,26.849922839506174,75.8449074074074,9
2018-01-04,22.99621913580247,89.17978395061728,9
2018-01-05,22.981369248035914,86.89183501683502,9
2018-01-06,24.9570987654321,81.08719135802468,9
2018-01-07,24.442052469135803,84.8996913580247,9
2018-01-08,24.139043209876544,83.14320987654321,9
2018-01-09,24.78772477187332,78.99285426731079,9
2018-01-10,25.4875,76.1604938271605,9
2018-01-11,25.073467813051145,76.35714285714286,9
2018-01-12,24.215608465608465,81.31643151087596,9
2018-01-13,24.882462522045856,78.05357142857143,9
2018-01-14,25.124305555555555,78.18672839506173,9
2018-01-15,25.639969135802467,75.54938271604938,9
2018-01-16,26.137114197530863,72.8070987654321,9
2018-01-17,26.278780864197532,74.88734567901234,9
2018-01-18,27.24953032742888,67.9433440687064,9
2018-01-19,26.772145061728395,70.05864197530865,9
2018-01-20,25.687661030595812,77.13687600644123,9
2018-01-21,25.360987654320986,79.20972222222223,9
2018-01-22,26.324228395061727,74.41358024691358,9
2018-01-23,26.054243827160494,74.33101851851852,9
2018-01-24,26.643904320987655,71.62345679012346,9
2018-01-25,25.82723765432099,76.17592592592592,9
2018-01-26,25.025000000000002,81.22762345679013,9
2018-01-27,23.793055555555554,84.76620370370371,9
2018-01-28,24.898611111111112,77.41735705003249,9
2018-01-29,25.31772678475577,80.69783279656468,9
2018-01-30,22.477932098765432,91.95061728395062,9
2018-01-31,22.541512345679013,83.08389450056117,9
2018-02-01,23.019860440150296,79.3041129898014,9
2018-02-02,23.871141975308642,77.90801656920078,9
2018-02-03,24.180941358024693,76.9454365079365,9
2018-02-04,22.685185185185183,79.90895061728395,9
2018-02-05,20.566898148148148,89.49355877616748,9
2018-02-06,22.26442901234568,86.82164902998237,9
2018-02-07,23.365277777777777,85.47753267973856,9
2018-02-08,24.313811728395063,80.47957516339869,9
2018-02-09,25.284953703703703,77.72206790123457,9
2018-02-10,26.359876543209875,78.15046296296296,9
2018-02-11,26.703395061728394,74.65086907082521,9
2018-02-12,26.94861111111111,72.52175925925926,9
2018-02-13,25.73202160493827,79.27148310591294,9
2018-02-14,24.73672839506173,81.49590713902307,9
2018-02-15,24.491666666666667,80.09395424836602,9
2018-02-16,24.39567901234568,81.17570546737213,9
2018-02-17,24.350540123456792,80.02647198480531,9
2018-02-18,24.22422839506173,81.82821268237934,9
2018-02-19,24.241721781305113,81.89550264550265,9
2018-02-20,25.77638888888889,79.49162257495591,9
2018-02-21,25.977932098765432,79.93230920314254,9
2018-02-22,24.970370370370368,85.31606125356126,9
2018-02-23,23.745524691358025,87.04151234567901,9
2018-02-24,23.642824074074074,80.26914983164983,9
2018-02-25,23.95167378917379,78.24038461538461,9
2018-02-26,24.431543209876544,80.95010288065843,9
2018-02-27,24.533619929453263,82.94212962962963,9
2018-02-28,25.19760802469136,82.29861111111111,9
2018-03-01,25.483873456790125,82.33956552706553,9
2018-03-02,26.347145061728394,79.59597578347578,9
2018-03-03,25.67276234567901,82.4375,9
2018-03-04,25.675705467372133,82.09000721500722,9
2018-03-05,26.089274691358025,81.48533950617283,9
2018-03-06,26.265784832451498,79.76470288970289,9
2018-03-07,25.98009259259259,80.5121913580247,9
2018-03-08,24.385956790123455,86.51774691358025,9
2018-03-09,23.53557098765432,84.60559964726632,9
2018-03-10,24.386320546737213,80.07515432098765,9
2018-03-11,24.9983024691358,83.68827160493828,9
2018-03-12,25.61537274453941,74.69271469271469,9
2018-03-13,24.887268518518518,81.31805555555556,9
2018-03-14,26.40507716049383,77.9933201058201,9
2018-03-15,26.600694444444443,80.23148148148148,9
2018-03-16,26.54621913580247,79.50795346628679,9
2018-03-17,24.844444444444445,84.07438271604939,9
2018-03-18,24.88946926999463,80.44025093934515,9
2018-03-19,26.12746913580247,78.51353276353277,9
2018-03-20,26.379706790123457,79.41234567901235,9
2018-03-21,24.334722222222222,85.74351851851853,9
2018-03-22,23.595987654320986,88.90956790123457,9
2018-03-23,24.604783950617286,82.73765432098766,9
2018-03-24,25.48989197530864,73.5429131054131,9
2018-03-25,25.447685185185186,72.03988603988604,9
2018-03-26,25.30979938271605,74.79226020892688,9
2018-03-27,24.673281425364756,77.35046296296296,9
