desfecho,macro_regiao,sexo_padronizado,faixa_etaria,cid_grupo,eventos
internacoes,Medio Paraiba,Masculino,0-49,I60-I62 hemorragicas,369
internacoes,Medio Paraiba,Feminino,80+,I60-I62 hemorragicas,319
internacoes,Medio Paraiba,Feminino,0-49,I65-I69 outras/sequelas,269
internacoes,Medio Paraiba,Masculino,0-49,I65-I69 outras/sequelas,230
internacoes,Medio Paraiba,Masculino,80+,I60-I62 hemorragicas,229
internacoes,Medio Paraiba,Masculino,50-64,I63 isquemico,90
internacoes,Medio Paraiba,Masculino,65-79,I63 isquemico,87
internacoes,Medio Paraiba,Feminino,65-79,I63 isquemico,76
internacoes,Medio Paraiba,Feminino,50-64,I63 isquemico,63
internacoes,Medio Paraiba,Feminino,80+,I63 isquemico,47
internacoes,Medio Paraiba,Feminino,0-49,I63 isquemico,43
internacoes,Medio Paraiba,Masculino,80+,I63 isquemico,43
internacoes,Medio Paraiba,Masculino,0-49,I63 isquemico,28
internacoes,Metropolitana I,Masculino,65-79,I64 AVC nao especificado,18326
internacoes,Metropolitana I,Feminino,65-79,I64 AVC nao especificado,17400
internacoes,Metropolitana I,Masculino,50-64,I64 AVC nao especificado,15340
internacoes,Metropolitana I,Feminino,50-64,I64 AVC nao especificado,11509
internacoes,Metropolitana I,Feminino,80+,I64 AVC nao especificado,10015
internacoes,Metropolitana I,Masculino,50-64,I65-I69 outras/sequelas,5565
internacoes,Metropolitana I,Masculino,80+,I64 AVC nao especificado,5517
internacoes,Metropolitana I,Feminino,0-49,I64 AVC nao especificado,5515
internacoes,Metropolitana I,Masculino,0-49,I64 AVC nao especificado,4800
internacoes,Metropolitana I,Masculino,65-79,I65-I69 outras/sequelas,4761
internacoes,Metropolitana I,Feminino,65-79,I65-I69 outras/sequelas,3571
internacoes,Metropolitana I,Masculino,50-64,I60-I62 hemorragicas,3168
internacoes,Metropolitana I,Feminino,50-64,I60-I62 hemorragicas,2878
internacoes,Metropolitana I,Masculino,0-49,I60-I62 hemorragicas,2699
internacoes,Metropolitana I,Feminino,50-64,I65-I69 outras/sequelas,2654
internacoes,Metropolitana I,Feminino,0-49,I60-I62 hemorragicas,2493
internacoes,Metropolitana I,Masculino,65-79,I60-I62 hemorragicas,2445
internacoes,Metropolitana I,Feminino,65-79,I60-I62 hemorragicas,2296
internacoes,Metropolitana I,Feminino,80+,I65-I69 outras/sequelas,1982
internacoes,Metropolitana I,Masculino,65-79,I63 isquemico,1862
internacoes,Metropolitana I,Feminino,65-79,I63 isquemico,1805
internacoes,Metropolitana I,Masculino,50-64,I63 isquemico,1723
internacoes,Metropolitana I,Feminino,50-64,I63 isquemico,1252
internacoes,Metropolitana I,Masculino,0-49,I65-I69 outras/sequelas,1249
internacoes,Metropolitana I,Feminino,0-49,I65-I69 outras/sequelas,1231
internacoes,Metropolitana I,Masculino,80+,I65-I69 outras/sequelas,1062
internacoes,Metropolitana I,Feminino,80+,I60-I62 hemorragicas,1039
internacoes,Metropolitana I,Feminino,80+,I63 isquemico,1023
internacoes,Metropolitana I,Masculino,80+,I60-I62 hemorragicas,740
internacoes,Metropolitana I,Feminino,0-49,I63 isquemico,706
internacoes,Metropolitana I,Masculino,0-49,I63 isquemico,643
internacoes,Metropolitana I,Masculino,80+,I63 isquemico,587
internacoes,Metropolitana II,Masculino,65-79,I64 AVC nao especificado,6625
internacoes,Metropolitana II,Feminino,65-79,I64 AVC nao especificado,5596
internacoes,Metropolitana II,Masculino,50-64,I64 AVC nao especificado,5182
internacoes,Metropolitana II,Feminino,50-64,I64 AVC nao especificado,3584
internacoes,Metropolitana II,Feminino,80+,I64 AVC nao especificado,3348
internacoes,Metropolitana II,Masculino,80+,I64 AVC nao especificado,1975
internacoes,Metropolitana II,Feminino,0-49,I64 AVC nao especificado,1431
internacoes,Metropolitana II,Masculino,0-49,I64 AVC nao especificado,1416
internacoes,Metropolitana II,Masculino,50-64,I60-I62 hemorragicas,897
internacoes,Metropolitana II,Masculino,65-79,I63 isquemico,863
internacoes,Metropolitana II,Feminino,65-79,I63 isquemico,754
internacoes,Metropolitana II,Feminino,50-64,I60-I62 hemorragicas,741
internacoes,Metropolitana II,Masculino,50-64,I63 isquemico,713
internacoes,Metropolitana II,Masculino,0-49,I60-I62 hemorragicas,703
internacoes,Metropolitana II,Feminino,65-79,I60-I62 hemorragicas,691
internacoes,Metropolitana II,Masculino,65-79,I60-I62 hemorragicas,646
internacoes,Metropolitana II,Feminino,0-49,I60-I62 hemorragicas,620
internacoes,Metropolitana II,Feminino,50-64,I63 isquemico,484
internacoes,Metropolitana II,Feminino,80+,I63 isquemico,417
internacoes,Metropolitana II,Masculino,50-64,I65-I69 outras/sequelas,322
internacoes,Metropolitana II,Feminino,80+,I60-I62 hemorragicas,281
internacoes,Metropolitana II,Feminino,65-79,I65-I69 outras/sequelas,273
internacoes,Metropolitana II,Masculino,65-79,I65-I69 outras/sequelas,267
internacoes,Metropolitana II,Feminino,50-64,I65-I69 outras/sequelas,262
internacoes,Metropolitana II,Masculino,80+,I63 isquemico,254
internacoes,Metropolitana II,Feminino,0-49,I63 isquemico,210
internacoes,Metropolitana II,Masculino,0-49,I63 isquemico,179
internacoes,Metropolitana II,Masculino,80+,I60-I62 hemorragicas,175
internacoes,Metropolitana II,Feminino,0-49,I65-I69 outras/sequelas,144
internacoes,Metropolitana II,Feminino,80+,I65-I69 outras/sequelas,121
internacoes,Metropolitana II,Masculino,0-49,I65-I69 outras/sequelas,97
internacoes,Metropolitana II,Masculino,80+,I65-I69 outras/sequelas,86
internacoes,Noroeste,Masculino,65-79,I64 AVC nao especificado,1737
internacoes,Noroeste,Masculino,50-64,I64 AVC nao especificado,1277
internacoes,Noroeste,Feminino,65-79,I64 AVC nao especificado,1234
internacoes,Noroeste,Feminino,80+,I64 AVC nao especificado,853
internacoes,Noroeste,Feminino,50-64,I64 AVC nao especificado,796
internacoes,Noroeste,Masculino,80+,I64 AVC nao especificado,724
internacoes,Noroeste,Feminino,0-49,I64 AVC nao especificado,378
internacoes,Noroeste,Masculino,65-79,I65-I69 outras/sequelas,377
internacoes,Noroeste,Masculino,0-49,I64 AVC nao especificado,348
internacoes,Noroeste,Feminino,65-79,I65-I69 outras/sequelas,313
internacoes,Noroeste,Masculino,50-64,I60-I62 hemorragicas,294
internacoes,Noroeste,Feminino,0-49,I60-I62 hemorragicas,285
internacoes,Noroeste,Feminino,50-64,I60-I62 hemorragicas,279
internacoes,Noroeste,Feminino,65-79,I60-I62 hemorragicas,252
internacoes,Noroeste,Masculino,65-79,I60-I62 hemorragicas,241
internacoes,Noroeste,Masculino,0-49,I60-I62 hemorragicas,233
internacoes,Noroeste,Masculino,50-64,I65-I69 outras/sequelas,206
internacoes,Noroeste,Feminino,80+,I65-I69 outras/sequelas,176
internacoes,Noroeste,Feminino,50-64,I65-I69 outras/sequelas,138
internacoes,Noroeste,Feminino,0-49,I65-I69 outras/sequelas,132
internacoes,Noroeste,Masculino,80+,I60-I62 hemorragicas,108
internacoes,Noroeste,Masculino,80+,I65-I69 outras/sequelas,100
internacoes,Noroeste,Feminino,80+,I60-I62 hemorragicas,69
internacoes,Noroeste,Masculino,0-49,I65-I69 outras/sequelas,56
internacoes,Noroeste,Masculino,50-64,I63 isquemico,33
internacoes,Noroeste,Feminino,65-79,I63 isquemico,30
internacoes,Noroeste,Masculino,65-79,I63 isquemico,22
internacoes,Noroeste,Feminino,80+,I63 isquemico,17
internacoes,Noroeste,Masculino,80+,I63 isquemico,17
internacoes,Noroeste,Feminino,50-64,I63 isquemico,12
internacoes,Noroeste,Feminino,0-49,I63 isquemico,11
internacoes,Noroeste,Masculino,0-49,I63 isquemico,8
internacoes,Norte,Masculino,65-79,I64 AVC nao especificado,1705
internacoes,Norte,Feminino,65-79,I64 AVC nao especificado,1304
internacoes,Norte,Masculino,50-64,I64 AVC nao especificado,1195
internacoes,Norte,Feminino,50-64,I64 AVC nao especificado,922
internacoes,Norte,Feminino,80+,I64 AVC nao especificado,826
internacoes,Norte,Masculino,50-64,I60-I62 hemorragicas,801
internacoes,Norte,Feminino,50-64,I60-I62 hemorragicas,739
internacoes,Norte,Masculino,65-79,I60-I62 hemorragicas,643
internacoes,Norte,Masculino,0-49,I60-I62 hemorragicas,596
internacoes,Norte,Feminino,0-49,I60-I62 hemorragicas,593
internacoes,Norte,Feminino,65-79,I60-I62 hemorragicas,567
internacoes,Norte,Masculino,80+,I64 AVC nao especificado,552
internacoes,Norte,Masculino,65-79,I63 isquemico,550
internacoes,Norte,Feminino,65-79,I63 isquemico,501
internacoes,Norte,Masculino,50-64,I63 isquemico,436
internacoes,Norte,Feminino,0-49,I64 AVC nao especificado,394
internacoes,Norte,Masculino,0-49,I64 AVC nao especificado,320
internacoes,Norte,Feminino,50-64,I63 isquemico,311
internacoes,Norte,Feminino,65-79,I65-I69 outras/sequelas,290
internacoes,Norte,Masculino,65-79,I65-I69 outras/sequelas,290
internacoes,Norte,Feminino,80+,I63 isquemico,250
internacoes,Norte,Masculino,50-64,I65-I69 outras/sequelas,247
internacoes,Norte,Feminino,80+,I60-I62 hemorragicas,225
internacoes,Norte,Feminino,50-64,I65-I69 outras/sequelas,218
internacoes,Norte,Masculino,80+,I63 isquemico,181
internacoes,Norte,Masculino,0-49,I63 isquemico,162
internacoes,Norte,Masculino,80+,I60-I62 hemorragicas,161
internacoes,Norte,Feminino,0-49,I63 isquemico,140
internacoes,Norte,Feminino,0-49,I65-I69 outras/sequelas,116
internacoes,Norte,Masculino,0-49,I65-I69 outras/sequelas,99
internacoes,Norte,Masculino,80+,I65-I69 outras/sequelas,71
internacoes,Norte,Feminino,80+,I65-I69 outras/sequelas,68
