Macroregiao;Ano;PM25;N_Municipios;Fonte
Metropolitana I;2015;23.6619;12;Monitorado, Vizinho mais proximo (Belford Roxo, 0.035 deg), Vizinho mais proximo (Belford Roxo, 0.050 deg), Vizinho mais proximo (Japeri, 0.111 deg), Vizinho mais proximo (Niterói, 0.073 deg), Vizinho mais proximo (São João de Meriti, 0.041 deg), Vizinho mais proximo (São João de Meriti, 0.071 deg)
Metropolitana I;2016;23.1243;12;Monitorado, Vizinho mais proximo (Belford Roxo, 0.035 deg), Vizinho mais proximo (Belford Roxo, 0.050 deg), Vizinho mais proximo (Japeri, 0.111 deg), Vizinho mais proximo (Niterói, 0.073 deg), Vizinho mais proximo (São João de Meriti, 0.041 deg), Vizinho mais proximo (São João de Meriti, 0.071 deg)
Metropolitana I;2017;22.4692;12;Monitorado, Vizinho mais proximo (Belford Roxo, 0.035 deg), Vizinho mais proximo (Belford Roxo, 0.050 deg), Vizinho mais proximo (Japeri, 0.111 deg), Vizinho mais proximo (Niterói, 0.073 deg), Vizinho mais proximo (São João de Meriti, 0.041 deg), Vizinho mais proximo (São João de Meriti, 0.071 deg)
Metropolitana I;2018;21.3753;12;Monitorado, Vizinho mais proximo (Belford Roxo, 0.035 deg), Vizinho mais proximo (Belford Roxo, 0.050 deg), Vizinho mais proximo (Japeri, 0.111 deg), Vizinho mais proximo (Niterói, 0.073 deg), Vizinho mais proximo (São João de Meriti, 0.041 deg), Vizinho mais proximo (São João de Meriti, 0.071 deg)
Metropolitana I;2019;23.3533;12;Monitorado, Vizinho mais proximo (Belford Roxo, 0.035 deg), Vizinho mais proximo (Belford Roxo, 0.050 deg), Vizinho mais proximo (Japeri, 0.111 deg), Vizinho mais proximo (Niterói, 0.073 deg), Vizinho mais proximo (São João de Meriti, 0.041 deg), Vizinho mais proximo (São João de Meriti, 0.071 deg)
Metropolitana I;2020;23.845;12;Monitorado, Vizinho mais proximo (Belford Roxo, 0.035 deg), Vizinho mais proximo (Belford Roxo, 0.050 deg), Vizinho mais proximo (Japeri, 0.111 deg), Vizinho mais proximo (Niterói, 0.073 deg), Vizinho mais proximo (São João de Meriti, 0.041 deg), Vizinho mais proximo (São João de Meriti, 0.071 deg)
Metropolitana I;2021;24.6004;12;Monitorado, Vizinho mais proximo (Belford Roxo, 0.035 deg), Vizinho mais proximo (Belford Roxo, 0.050 deg), Vizinho mais proximo (Japeri, 0.111 deg), Vizinho mais proximo (Niterói, 0.073 deg), Vizinho mais proximo (São João de Meriti, 0.041 deg), Vizinho mais proximo (São João de Meriti, 0.071 deg)
Metropolitana I;2022;25.0308;12;Monitorado, Vizinho mais proximo (Belford Roxo, 0.035 deg), Vizinho mais proximo (Belford Roxo, 0.050 deg), Vizinho mais proximo (Japeri, 0.111 deg), Vizinho mais proximo (Niterói, 0.073 deg), Vizinho mais proximo (São João de Meriti, 0.041 deg), Vizinho mais proximo (São João de Meriti, 0.071 deg)
Metropolitana I;2023;22.4807;12;Monitorado, Vizinho mais proximo (Belford Roxo, 0.035 deg), Vizinho mais proximo (Belford Roxo, 0.050 deg), Vizinho mais proximo (Japeri, 0.111 deg), Vizinho mais proximo (Niterói, 0.073 deg), Vizinho mais proximo (São João de Meriti, 0.041 deg), Vizinho mais proximo (São João de Meriti, 0.071 deg)
Metropolitana I;2024;29.9288;12;Monitorado, Vizinho mais proximo (Belford Roxo, 0.035 deg), Vizinho mais proximo (Belford Roxo, 0.050 deg), Vizinho mais proximo (Japeri, 0.111 deg), Vizinho mais proximo (Niterói, 0.073 deg), Vizinho mais proximo (São João de Meriti, 0.041 deg), Vizinho mais proximo (São João de Meriti, 0.071 deg)
Metropolitana I;2025;28.1915;12;Monitorado, Vizinho mais proximo (Belford Roxo, 0.035 deg), Vizinho mais proximo (Belford Roxo, 0.050 deg), Vizinho mais proximo (Japeri, 0.111 deg), Vizinho mais proximo (Niterói, 0.073 deg), Vizinho mais proximo (São João de Meriti, 0.041 deg), Vizinho mais proximo (São João de Meriti, 0.071 deg)
Metropolitana II;2010;19.7943;7;Monitorado, Vizinho mais proximo (Tanguá, 0.100 deg)
Metropolitana II;2011;15.4116;7;Monitorado, Vizinho mais proximo (Tanguá, 0.100 deg)
Metropolitana II;2012;15.9631;7;Monitorado, Vizinho mais proximo (Tanguá, 0.100 deg)
Metropolitana II;2013;14.1683;7;Monitorado, Vizinho mais proximo (Tanguá, 0.100 deg)
Metropolitana II;2014;15.9977;7;Monitorado, Vizinho mais proximo (Tanguá, 0.100 deg)
Metropolitana II;2015;17.2413;7;Monitorado, Vizinho mais proximo (Tanguá, 0.100 deg)
Metropolitana II;2016;16.8495;7;Monitorado, Vizinho mais proximo (Tanguá, 0.100 deg)
Metropolitana II;2017;16.3722;7;Monitorado, Vizinho mais proximo (Tanguá, 0.100 deg)
Metropolitana II;2018;15.5752;7;Monitorado, Vizinho mais proximo (Tanguá, 0.100 deg)
Metropolitana II;2019;17.0164;7;Monitorado, Vizinho mais proximo (Tanguá, 0.100 deg)
Metropolitana II;2020;17.3747;7;Monitorado, Vizinho mais proximo (Tanguá, 0.100 deg)
Metropolitana II;2021;17.9251;7;Monitorado, Vizinho mais proximo (Tanguá, 0.100 deg)
Metropolitana II;2022;18.2387;7;Monitorado, Vizinho mais proximo (Tanguá, 0.100 deg)
Metropolitana II;2023;16.3805;7;Monitorado, Vizinho mais proximo (Tanguá, 0.100 deg)
Metropolitana II;2024;21.8076;7;Monitorado, Vizinho mais proximo (Tanguá, 0.100 deg)
Metropolitana II;2025;20.5417;7;Monitorado, Vizinho mais proximo (Tanguá, 0.100 deg)
Médio Paraíba;2010;23.9138;11;Monitorado, Vizinho mais proximo (Itatiaia, 0.123 deg), Vizinho mais proximo (Volta Redonda, 0.103 deg)
Médio Paraíba;2011;18.6189;11;Monitorado, Vizinho mais proximo (Itatiaia, 0.123 deg), Vizinho mais proximo (Volta Redonda, 0.103 deg)
Médio Paraíba;2012;19.2852;11;Monitorado, Vizinho mais proximo (Itatiaia, 0.123 deg), Vizinho mais proximo (Volta Redonda, 0.103 deg)
Médio Paraíba;2013;17.1168;11;Monitorado, Vizinho mais proximo (Itatiaia, 0.123 deg), Vizinho mais proximo (Volta Redonda, 0.103 deg)
Médio Paraíba;2014;19.327;11;Monitorado, Vizinho mais proximo (Itatiaia, 0.123 deg), Vizinho mais proximo (Volta Redonda, 0.103 deg)
Médio Paraíba;2015;20.8294;11;Monitorado, Vizinho mais proximo (Itatiaia, 0.123 deg), Vizinho mais proximo (Volta Redonda, 0.103 deg)
Médio Paraíba;2016;20.3561;11;Monitorado, Vizinho mais proximo (Itatiaia, 0.123 deg), Vizinho mais proximo (Volta Redonda, 0.103 deg)
Médio Paraíba;2017;19.7794;11;Monitorado, Vizinho mais proximo (Itatiaia, 0.123 deg), Vizinho mais proximo (Volta Redonda, 0.103 deg)
Médio Paraíba;2018;18.8165;11;Monitorado, Vizinho mais proximo (Itatiaia, 0.123 deg), Vizinho mais proximo (Volta Redonda, 0.103 deg)
Médio Paraíba;2019;20.5577;11;Monitorado, Vizinho mais proximo (Itatiaia, 0.123 deg), Vizinho mais proximo (Volta Redonda, 0.103 deg)
Médio Paraíba;2020;20.9906;11;Monitorado, Vizinho mais proximo (Itatiaia, 0.123 deg), Vizinho mais proximo (Volta Redonda, 0.103 deg)
Médio Paraíba;2021;21.6555;11;Monitorado, Vizinho mais proximo (Itatiaia, 0.123 deg), Vizinho mais proximo (Volta Redonda, 0.103 deg)
Médio Paraíba;2022;22.0344;11;Monitorado, Vizinho mais proximo (Itatiaia, 0.123 deg), Vizinho mais proximo (Volta Redonda, 0.103 deg)
Médio Paraíba;2023;19.7896;11;Monitorado, Vizinho mais proximo (Itatiaia, 0.123 deg), Vizinho mais proximo (Volta Redonda, 0.103 deg)
Médio Paraíba;2024;26.3461;11;Monitorado, Vizinho mais proximo (Itatiaia, 0.123 deg), Vizinho mais proximo (Volta Redonda, 0.103 deg)
Médio Paraíba;2025;24.8167;11;Monitorado, Vizinho mais proximo (Itatiaia, 0.123 deg), Vizinho mais proximo (Volta Redonda, 0.103 deg)
Noroeste;2010;13.0843;14;Monitorado, Vizinho mais proximo (Santo Antônio de Pádua, 0.130 deg)
Noroeste;2011;10.1872;14;Monitorado, Vizinho mais proximo (Santo Antônio de Pádua, 0.130 deg)
Noroeste;2012;10.5518;14;Monitorado, Vizinho mais proximo (Santo Antônio de Pádua, 0.130 deg)
Noroeste;2013;9.3654;14;Monitorado, Vizinho mais proximo (Santo Antônio de Pádua, 0.130 deg)
Noroeste;2014;10.5746;14;Monitorado, Vizinho mais proximo (Santo Antônio de Pádua, 0.130 deg)
Noroeste;2015;11.3967;14;Monitorado, Vizinho mais proximo (Santo Antônio de Pádua, 0.130 deg)
Noroeste;2016;11.1377;14;Monitorado, Vizinho mais proximo (Santo Antônio de Pádua, 0.130 deg)
Noroeste;2017;10.8222;14;Monitorado, Vizinho mais proximo (Santo Antônio de Pádua, 0.130 deg)
Noroeste;2018;10.2953;14;Monitorado, Vizinho mais proximo (Santo Antônio de Pádua, 0.130 deg)
Noroeste;2019;11.248;14;Monitorado, Vizinho mais proximo (Santo Antônio de Pádua, 0.130 deg)
Noroeste;2020;11.4848;14;Monitorado, Vizinho mais proximo (Santo Antônio de Pádua, 0.130 deg)
Noroeste;2021;11.8487;14;Monitorado, Vizinho mais proximo (Santo Antônio de Pádua, 0.130 deg)
Noroeste;2022;12.056;14;Monitorado, Vizinho mais proximo (Santo Antônio de Pádua, 0.130 deg)
Noroeste;2023;10.8277;14;Monitorado, Vizinho mais proximo (Santo Antônio de Pádua, 0.130 deg)
Noroeste;2024;14.4151;14;Monitorado, Vizinho mais proximo (Santo Antônio de Pádua, 0.130 deg)
Noroeste;2025;13.5783;14;Monitorado, Vizinho mais proximo (Santo Antônio de Pádua, 0.130 deg)
Norte;2010;11.051;8;Monitorado
Norte;2011;8.6042;8;Monitorado
Norte;2012;8.912;8;Monitorado
Norte;2013;7.91;8;Monitorado
Norte;2014;8.9314;8;Monitorado
Norte;2015;9.6256;8;Monitorado
Norte;2016;9.407;8;Monitorado
Norte;2017;9.1404;8;Monitorado
Norte;2018;8.6955;8;Monitorado
Norte;2019;9.5001;8;Monitorado
Norte;2020;9.7002;8;Monitorado
Norte;2021;10.0074;8;Monitorado
Norte;2022;10.1825;8;Monitorado
Norte;2023;9.1451;8;Monitorado
Norte;2024;12.175;8;Monitorado
Norte;2025;11.4683;8;Monitorado
Serrana;2010;16.1722;16;Monitorado, Vizinho mais proximo (Aperibé, 0.162 deg), Vizinho mais proximo (Carmo, 0.138 deg), Vizinho mais proximo (Guapimirim, 0.125 deg), Vizinho mais proximo (Guapimirim, 0.191 deg)
Serrana;2011;12.5914;16;Monitorado, Vizinho mais proximo (Aperibé, 0.162 deg), Vizinho mais proximo (Carmo, 0.138 deg), Vizinho mais proximo (Guapimirim, 0.125 deg), Vizinho mais proximo (Guapimirim, 0.191 deg)
Serrana;2012;13.042;16;Monitorado, Vizinho mais proximo (Aperibé, 0.162 deg), Vizinho mais proximo (Carmo, 0.138 deg), Vizinho mais proximo (Guapimirim, 0.125 deg), Vizinho mais proximo (Guapimirim, 0.191 deg)
Serrana;2013;11.5756;16;Monitorado, Vizinho mais proximo (Aperibé, 0.162 deg), Vizinho mais proximo (Carmo, 0.138 deg), Vizinho mais proximo (Guapimirim, 0.125 deg), Vizinho mais proximo (Guapimirim, 0.191 deg)
Serrana;2014;13.0703;16;Monitorado, Vizinho mais proximo (Aperibé, 0.162 deg), Vizinho mais proximo (Carmo, 0.138 deg), Vizinho mais proximo (Guapimirim, 0.125 deg), Vizinho mais proximo (Guapimirim, 0.191 deg)
Serrana;2015;14.0863;16;Monitorado, Vizinho mais proximo (Aperibé, 0.162 deg), Vizinho mais proximo (Carmo, 0.138 deg), Vizinho mais proximo (Guapimirim, 0.125 deg), Vizinho mais proximo (Guapimirim, 0.191 deg)
