Municipio;Macroregiao;Ano;Mes;PM25;Fonte;Metodo
Paraty;Baía da Ilha Grande;2016;5;10.5438;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2016;6;11.8186;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2016;7;12.804;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2016;8;23.9257;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2016;9;39.7341;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2016;10;19.7479;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2016;11;12.5164;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2016;12;11.4123;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2017;1;9.5535;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2017;2;10.1704;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2017;3;10.5436;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2017;4;10.4229;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2017;5;10.245;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2017;6;11.4837;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2017;7;12.4412;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2017;8;23.2478;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2017;9;38.6084;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2017;10;19.1884;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2017;11;12.1618;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2017;12;11.0889;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2018;1;9.0884;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2018;2;9.6753;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2018;3;10.0303;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2018;4;9.9155;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2018;5;9.7463;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2018;6;10.9247;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2018;7;11.8356;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2018;8;22.1161;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2018;9;36.7289;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2018;10;18.2543;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2018;11;11.5697;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2018;12;10.5491;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2019;1;9.9294;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2019;2;10.5706;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2019;3;10.9584;Monitorado;Observado + sazonal (perfil nacional 2024)
