ano,macro_regiao,populacao,fonte_populacao,observacao_populacao
2019,Metropolitana II,2116506,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
2019,Noroeste,348191,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
2019,Norte,945425,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
2019,Serrana,972205,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
2020,Baia da Ilha Grande,295944,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
2020,Baixada Litoranea,855444,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
2020,Centro-Sul,342078,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
2020,Medio Paraiba,918097,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
2020,Metropolitana I,10542254,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
2020,Metropolitana II,2131058,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
2020,Noroeste,349417,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
2020,Norte,955122,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
2020,Serrana,976775,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
2021,Baia da Ilha Grande,300287,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
2021,Baixada Litoranea,870304,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
2021,Centro-Sul,343570,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
2021,Medio Paraiba,922318,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
2021,Metropolitana I,10585667,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
2021,Metropolitana II,2145025,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
2021,Noroeste,350591,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
2021,Norte,964428,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
2021,Serrana,981159,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
2022,Baia da Ilha Grande,253897,"SIDRA 4714 v93 - Censo Demografico 2022, Populacao residente",censo_2022_oficial_sidra
2022,Baixada Litoranea,846933,"SIDRA 4714 v93 - Censo Demografico 2022, Populacao residente",censo_2022_oficial_sidra
2022,Centro-Sul,320003,"SIDRA 4714 v93 - Censo Demografico 2022, Populacao residente",censo_2022_oficial_sidra
2022,Medio Paraiba,865130,"SIDRA 4714 v93 - Censo Demografico 2022, Populacao residente",censo_2022_oficial_sidra
