macro_regiao,desfecho,exposicao,lag,estatistica,pvalor
Baixada Litoranea,internacoes_i60_i69,ur_med,1,1.7857259803709535,0.18144777808157253
Baixada Litoranea,internacoes_i60_i69,ur_med,7,13.149637666626079,0.06854535013735841
Baixada Litoranea,internacoes_i60_i69,ur_med,14,31.085205276162036,0.005393240580442216
Baixada Litoranea,internacoes_i60_i69,ur_med,21,54.77847716968243,7.614312436399207e-5
Baixada Litoranea,internacoes_i60_i69,ur_med,30,83.80878229629192,5.519818956356559e-7
Baixada Litoranea,obitos_i60_i69,temp_med,1,0.1870533742248689,0.6653804680182975
Baixada Litoranea,obitos_i60_i69,temp_med,7,12.993877465673636,0.07225770601453152
Baixada Litoranea,obitos_i60_i69,temp_med,14,29.094576288123058,0.010146725862720585
Baixada Litoranea,obitos_i60_i69,temp_med,21,57.024484005610184,3.563477199841625e-5
Baixada Litoranea,obitos_i60_i69,temp_med,30,80.7538772734807,1.5383818766645518e-6
Baixada Litoranea,obitos_i60_i69,ur_med,1,0.2407520945945446,0.623663439410586
Baixada Litoranea,obitos_i60_i69,ur_med,7,13.442814684906105,0.062026661263160365
Baixada Litoranea,obitos_i60_i69,ur_med,14,29.607328976234104,0.008640109395981255
Baixada Litoranea,obitos_i60_i69,ur_med,21,55.39189156718915,6.196737076546999e-5
Baixada Litoranea,obitos_i60_i69,ur_med,30,77.9211200856846,3.914638722957164e-6
Baixada Litoranea,internacoes_i60_i64,temp_med,1,2.889628160311501,0.08915149937347
Baixada Litoranea,internacoes_i60_i64,temp_med,7,12.116613759698454,0.09678859190866884
Baixada Litoranea,internacoes_i60_i64,temp_med,14,36.89440208178511,7.653924740722573e-4
Baixada Litoranea,internacoes_i60_i64,temp_med,21,53.725916266600045,1.0816114940415122e-4
Baixada Litoranea,internacoes_i60_i64,temp_med,30,82.33318821676863,9.076166993526869e-7
Baixada Litoranea,internacoes_i60_i64,ur_med,1,2.479588565047704,0.11533241918207138
Baixada Litoranea,internacoes_i60_i64,ur_med,7,11.995777533485679,0.10069781215019091
Baixada Litoranea,internacoes_i60_i64,ur_med,14,34.69296599856293,0.0016318109945201442
Baixada Litoranea,internacoes_i60_i64,ur_med,21,52.33497110598508,1.7114265233375558e-4
